ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ЭНЕРГИЯ""";;;;;;;;;;;;;;;+7 (347) 299-50-93;;;;;;;;;;;;;https://www.rusprofile.ru/id/11226447?utm_source=tender-win.ru;pke.info@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету 175118403 от 30.03.2023 г. В т.ч. НДС 20%, 21715.67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;272908303    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"ООО ""МегаГрупп""";;;;;;;;;;;;;;;7 (347) 257-20-28, +7 (937) 310-70-51;;;;;;;;;;;;;https://www.rusprofile.ru/id/7268388?utm_source=tender-win.ru;slsp_ufa@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 2724 от 03.03.2023г.В том числе В том числе НДС 20 % - 66666.67 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;274188033    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ООО Эколенд;;;;;;;;;;;;;;;+7 (347) 246-77-00;;;;;;;;;;;;;https://www.rusprofile.ru/id/10374689?utm_source=tender-win.ru;buh_27@alsar.ru;;;;;;;;;;;;;;;;;;;;Оплата за насос по счету № 11492 от 17.10.2022 г.  В том числе НДС 20.00% - 8 353.57;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;274913250    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"ООО ""Гарант""";;;;;;;;;;;;;;;7 (917) 448-37-72, +7 (965) 925-37-05;;;;;;;;;;;;;https://www.rusprofile.ru/id/7441565?utm_source=tender-win.ru;poligraf-ufa@rambler.ru;;;;;;;;;;;;;;;;;;;;Доплата по счёту № 22506/RUB от 16.12.2022 г. В том числе НДС 20% 278612.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;275900567    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"ООО ""Уфахимкомплект""";;;;;;;;;;;;;;;7 (347) 239-55-33, +7 (347) 246-45-00, +7 (347) 292-46-92, +7 (347) 246-45-00, доб 1122, +7 (927) 353-78-12, +7 (347) 246-45-39, +7 (937) 319-68-05;;;;;;;;;;;;;https://www.rusprofile.ru/id/1877790?utm_source=tender-win.ru;ufahimcomplect@yandex.ru, e.latypova@krezol.ru, manager@krezol.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 8972 от 24.07.2023 г. за Жидкость.Сумма 85110-50В т.ч. НДС(20%) 14185-08;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;276024834    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"ООО ""АЭС""";;;;;;;;;;;;;;;+7 (347) 278-12-80, доб 231;;;;;;;;;;;;;https://www.rusprofile.ru/id/7009097?utm_source=tender-win.ru;fs6795@yandex.ru;;;;;;;;;;;;;;;;;;;;По счету 9736 от 8 августа 2023 за пластины. В том числе НДС 20 % - 2976,60 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;276150645    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"ООО ""АТ-Инжиниринг""";;;;;;;;;;;;;;;7 (917) 475-80-88, +7 (919) 149-83-98, +7 (937) 308-30-80;;;;;;;;;;;;;https://www.rusprofile.ru/id/7164908?utm_source=tender-win.ru;atteplo2@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету N187117110 от 15.045.2023 г. за тмц. В том числе НДС 20.00 % - 6868.00 р.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;276155435    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"ООО ""РСП""";;;;;;;;;;;;;;;7 (347) 257-24-88, +7 (347) 285-55-15, +7 (917) 785-12-79, +7 (34778) 2-14-91, +7 (917) 420-75-75;;;;;;;;;;;;;https://www.rusprofile.ru/id/7217058?utm_source=tender-win.ru;triada-stroi@mail.ru;;;;;;;;;;;;;;;;;;;;За насос по счёту 14436 от 22.12.2022.В том числе НДС 20 % - 10368.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;276156728    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"ООО ""УРАЛТЕХСИСТЕМЫ""";;;;;;;;;;;;;;;+7 (347) 286-52-10;;;;;;;;;;;;;https://www.rusprofile.ru/id/11506988?utm_source=tender-win.ru;far1220@mail.ru;;;;;;;;;;;;;;;;;;;;Предоплата 50% за насосы по счету №20376/RUB от 16.09.2022г. В том числе НДС 20 % - 324311.75 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;278942325    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРИН""";;;;;;;;;;;;;;;+7 (347) 286-21-46;;;;;;;;;;;;;https://www.rusprofile.ru/id/11912237?utm_source=tender-win.ru;profbuh-bodrova@mail.ru;;;;;;;;;;;;;;;;;;;;оплата по счету № 3232 от 15 марта 2023 г.В том числе НДС 20%, 12257.78 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;278953285    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
